Quota	Sathvika	Howard	Ichchitaa	None of the Above
Exec	1	4	3	2
General	1	2	3	4
General	1	3	2	4
Exec	1	2	3	4
General	1	2	3	4
Leader	2	1	4	3
Exec	1	2	3	4
Leader	1	2	3	4
General	1	2	3	0
Leader	1	2	2	3
General	1	2	4	3
Exec	1	2	3	4
Leader	1	2	3	4
Exec	1	4	3	2
General	1	2	3	Sjwjjs
General	1	3	2	4
Leader	1	4	4	2
Leader	1	3	4	2
General	1	2	3	4
General	1	3	4	2
General	1	2	3	4
General	1	2	nah	nah
Exec	1	2	3	4
General	1	2	3	-
Exec	3	2	1	4
General	1	2	3	4
General	1	2	3	N
General	3	2	4	1
General	1	3	2	4
Leader	1	2	3	4
General	1	2	3	3
General	1	2	3	4
General	1	2	3	4
General	1	2	3	4
Leader	1	2	3	4
General	1	2	3	N/A
General	2	1	3	4
General	3	1	2	4
Leader	2	1	3	4
General	1	2	3	4
Exec	1	2	3	4
Exec	1	2	3	na
