Quota	Jenna	Tia	Amal	Adhiraj	None of the Above
Exec	1	2	4	5	3
Leader	1	3	2	5	4
Leader	1	2	3	5	4
Leader	1	2	3	4	5
Leader	1	2	3	4	5
Leader	1	2	3	5	4
General	1	2	3	4	N/A
General	1	2	3	4	5
General	1	1	2	3	4
Exec	1	2	3	4	5
General	1	2	4	3	5
General	1	2	3	4	5
Exec	1	3	2	4	5
General	2	1	3	4	0
General	2	1	3	4	5
General	2	1	3	5	4
General	2	3	1	4	5
Exec	2	1	3	5	4
Leader	2	1	3	4	5
Exec	2	4	1	3	5
General	2	1	3	4	4
Leader	2	3	1	5	4
General	2	1	3	4	5
Leader	2	1	5	4	3
Exec	2	1	3	4	5
General	2	3	1	4	5
Leader	2	1	3	4	5
General	2	4	3	1	5
General	2	1	3	4	3
General	2	1	3	4	5
General	2	1	3	4	5
General	3	1	4	2	5
Exec	3	2	1	4	5
General	3	2	1	4	5
General	3	3	1	2	N
General	3	2	1	4	-
General	3	2	1	4	5
General	3	4	2	1	5
General	3	2	1	4	Sjjska
General	3	1	2	4	5
General	4	1	2	6	3
Exec	2	3	1	4	na
