Quota	Ichchitaa	Amal	Akhil	Somu	Dylan	Winston	None of the Above
Exec	7	6	1	3	2	5	4
General	6	5	2	4	1	3	7
Exec	6	5	1	3	2	4	7
Leader	7	6	2	3	1	4	5
Leader	7	5	2	3	1	4	6
Leader	6	1	2	5	4	3	7
General	12	2	7	9	4	5	1
General	3	2	4	5	1	6	7
General	6	4	3	2	1	5	7
Leader	4	5	1	2	3	6	7
Exec	5	4	3	2	1	6	7
Exec	4	2	3	5	1	6	7
General	7	2	1	4	5	3	6
General	5	6	2	4	1	3	7
General	5	1	4	3	2	6	7
General	6	3	1	4	2	5	-
Leader	2	4	1	5	3	7	6
General	3	1	4	2	5	6	7
General	3	5	2	4	1	6	6
General	6	5	3	2	1	4	7
Exec	6	4	1	2	5	7	3
Leader	5	4	1	3	2	6	7
General	3	1	4	5	2	6	N/A
Leader	5	4	2	3	1	6	7
General	5	4	2	3	1	6	7
Exec	5	1	2	4	3	7	6
Leader	5	4	3	2	1	6	7
General	5	2	3	4	1	6	Wjsjs
General	3	1	4	2	6	5	Y
General	nah	nah	2	3	1	nah	nah
General	6	2	3	4	1	7	5
General	5	4	2	3	1	6	7
General	5	2	3	4	1	7	6
Exec	5	4	2	3	1	6	7
General	3	1	4	5	2	7	6
Leader	5	4	2	1	3	6	7
General	4	3	2	5	1	6	7
General	6	4	1	2	3	smh-jenna 	7
General	3	6	5	4	1	2	n/a
General	5	4	2	3	1	6	7
General	1	2	3	3	3	3	Ends at 3 
General	3	4	1	5	2	7	6
Exec	4	2	5	3	1	6	na
