Quota	Shamith	Dylan	Howard	Ichchitaa	None of the Above
Exec	2	3	1	5	4
General	2	3	1	4	5
General	2	3	1	4	5
Leader	2	1	3	5	4
General	2	1	4	3	Iwkkddk
Exec	1	2	3	4	5
General	3	2	1	5	4
General	1	5	2	3	4
Leader	2	1	3	4	5
General	1	2	3	4	5
Leader	5	1	2	4	3
General	2	1	3	4	5
Exec	2	1	3	4	5
General	3	2	1	4	Na
Exec	3	1	2	4	5
Leader	2	1	3	4	5
Exec	2	3	1	4	5
Exec	1	3	2	4	5
Leader	3	1	2	4	5
General	1	2	3	4	-
General	2	1	4	3	5
Leader	2	1	3	5	4
General	1	2	3	4	5
General	2	1	3	5	4
General	2	1	3	4	N/A
Leader	2	1	3	4	5
General	3	1	2	4	4
General	2	3	4	1	5
General	2	1	3	4	5
Leader	2	1	3	4	5
Leader	2	1	3	4	5
General	2	1	3	4	5
General	2	1	2	nah	nah
General	2	1	3	4	5
General	3	4	1	2	5
General	2	1	3	4	5
General	1	3	3	2	Y
Exec	2	1	3	4	5
General	2	1	3	4	5
General	2	1	3	4	5
General	3	1	4	6	2
Exec	3	1	2	4	na
