Quota	Somu	Winston	None of the Above
Exec	2	1	3
Exec	2	1	3
Exec	1	2	3
Exec	1	2	3
Exec	2	1	3
Exec	2	1	3
Exec	2	1	3
General	1	2	3
General	1	2	3
General	1	2	3
General	1	2	3
General	2	1	3
General	2	1	3
General	2	1	3
General	2	1	N/A
General	2	1	3
General	1	2	Y
General	1	2	3
General	2	1	3
General	1	2	3
General	2	1	N/A
General	2	1	3
General	1	2	3
General	2	1	Skjddjs
General	1	2	-
General	1	2	3
General	2	1	3
General	2	1	co!
General	1	2	3
General	1	2	3
General	1	2	3
General	1	2	N/A
Leader	2	1	3
Leader	1	2	3
Leader	3	2	1
Leader	2	1	3
Leader	2	1	3
Leader	1	2	3
Leader	2	1	3
Leader	2	1	3
Leader	1	2	3
Exec	1	2	na
