Quota	Adhiraj	Howard	Bradley	None of the Above
Exec	4	2	1	3
General	3	1	2	4
Leader	4	2	1	3
General	3	2	1	Na
General	2	3	1	4
General	3	2	1	4
General	2	3	1	Na
Leader	4	4	1	2
Leader	2	3	1	4
Leader	4	2	1	3
General	2	3	1	N/A
General	3	2	1	4
General	2	3	1	4
Exec	2	3	1	4
Exec	4	3	1	2
Leader	3	4	1	2
General	3	2	1	4
Exec	2	3	1	4
General	2	3	1	4
General	2	3	1	Y
General	4	2	1	3
General	2	3	1	4
General	nah	aw	1	lolz
General	2	3	1	4
General	2	-	1	-
General	2	3	1	4
Leader	4	3	1	2
General	4	2	1	3
Leader	4	2	1	3
Exec	2	3	1	4
Exec	3	2	1	4
General	2	3	1	4
General	3	2	1	4
General	2	3	1	aijsjs
Leader	2	3	1	4
General	2	3	1	4
General	1	3	1	2
General	2	3	1	4
General	1	3	2	4
Leader	3	2	1	4
General	6	6	2	1
General	2	3	1	4
Exec	3	2	1	4
General	2	2	1	2
Exec	3	2	1	na
